gndr,cntry,agea,stflife,lrscale,health,hlthhmp,alcfreq,cgtsmok,slprl,happy,edulvlb,ipsucesa,iprspota,impricha,ipshabta,ipcrtiva,ipudrsta,ipmodsta,iphlppla,hinctnta
2,AT,90,5,6,3,1,7,6,3,5,212,4,3,4,4,2,2,2,2,2
2,AT,49,8,5,1,3,2,3,1,8,322,2,3,4,2,3,2,2,2,3
2,AT,72,8,5,3,3,6,1,3,8,610,2,1,5,5,3,1,3,2,2
1,AT,68,9,5,2,3,3,4,1,6,322,3,3,2,4,2,1,2,1,6
1,AT,47,9,8,2,3,2,6,2,9,620,4,2,3,4,3,2,2,2,3
2,AT,47,9,0,2,3,3,6,1,9,322,3,2,3,3,3,2,3,2,7
1,AT,77,10,4,2,2,7,5,1,10,322,3,6,2,3,2,3,2,3,5
2,AT,30,9,6,1,3,6,1,1,9,322,2,3,2,2,2,3,4,3,3
1,AT,50,6,5,3,3,2,1,2,7,212,6,2,6,3,6,3,3,3,1
1,AT,37,8,3,2,3,2,4,2,8,423,2,3,3,2,1,1,3,1,4
2,AT,30,9,4,1,3,4,5,1,8,322,3,2,3,2,2,1,2,3,6
1,AT,47,9,5,2,3,3,5,2,8,720,1,1,1,1,1,1,6,1,77
2,AT,80,9,6,3,2,4,5,2,9,322,4,2,4,4,4,2,2,2,2
2,AT,84,4,6,3,2,1,6,2,6,212,4,1,5,3,5,2,1,2,88
2,AT,78,8,5,2,3,4,6,1,7,212,1,1,6,1,6,1,1,1,2
1,AT,73,8,5,1,3,4,1,1,9,322,6,1,6,1,1,1,5,2,3
2,AT,38,10,88,2,3,4,4,1,10,322,2,2,2,2,2,2,4,2,8
1,AT,68,8,6,3,3,3,4,2,8,322,2,2,5,2,2,2,2,2,8
2,AT,32,8,6,1,3,4,3,2,8,322,2,2,5,2,2,1,1,1,8
1,AT,72,6,6,3,2,7,4,2,8,322,3,6,6,4,1,3,4,2,7
1,AT,65,8,6,3,3,5,6,3,8,423,2,3,2,2,4,2,3,3,9
1,AT,62,9,4,2,2,4,4,1,9,322,6,6,5,6,4,4,1,4,5
1,AT,66,7,7,2,3,7,6,1,8,212,6,3,4,4,6,4,2,4,77
1,AT,66,8,5,3,2,2,5,2,9,322,1,1,3,1,2,1,3,1,7
2,AT,22,9,0,1,3,5,5,2,9,423,3,1,5,2,2,1,2,1,1
2,AT,35,6,7,3,2,5,1,2,7,322,3,4,4,3,1,2,3,2,1
2,AT,44,9,5,1,3,5,6,1,9,322,4,1,6,1,1,1,4,1,5
2,AT,66,9,2,2,2,6,6,2,9,322,2,2,5,1,2,3,3,1,4
2,AT,87,10,7,3,2,4,6,2,10,322,2,4,4,4,1,1,1,2,4
1,AT,30,7,88,1,3,4,6,1,7,322,3,2,3,2,3,2,3,3,77
1,AT,69,9,6,2,3,2,6,2,9,800,3,3,3,2,2,2,3,1,7
1,AT,80,9,3,2,3,3,6,1,8,322,2,1,3,4,2,1,3,2,7
2,AT,48,8,5,1,3,2,4,2,8,800,1,3,1,2,1,2,4,2,10
1,AT,68,7,4,3,2,1,1,3,7,212,4,3,4,3,4,3,3,2,2
2,AT,84,7,6,4,2,7,6,2,7,212,5,2,6,6,6,2,1,3,2
2,AT,25,8,4,1,3,7,6,1,8,322,1,4,5,2,2,1,4,1,77
1,AT,63,10,4,1,3,2,2,2,9,322,4,3,4,5,3,2,4,2,8
2,AT,41,2,2,4,2,7,2,1,2,212,4,4,5,4,2,1,2,3,8
2,AT,30,10,88,1,3,4,6,1,10,322,4,2,4,3,4,2,2,2,6
1,AT,70,10,1,1,3,7,4,1,10,610,4,1,4,4,2,1,3,1,5
1,AT,63,7,88,3,2,2,3,2,7,322,3,2,4,3,3,3,2,3,2
2,AT,84,0,2,4,1,1,4,3,3,322,4,2,2,4,4,3,2,2,7
2,AT,65,9,6,3,3,4,6,1,8,322,4,2,5,4,3,2,3,2,7
2,AT,80,5,5,4,1,7,6,3,4,322,4,4,3,4,4,3,1,88,2
2,AT,54,8,6,1,3,7,1,1,8,610,2,2,3,3,2,1,2,1,77
2,AT,32,7,5,2,3,5,1,1,7,322,4,5,5,4,2,3,4,2,4
2,AT,65,7,4,3,3,6,6,1,8,620,4,2,5,4,3,2,2,3,2
1,AT,75,7,4,2,2,3,4,2,7,322,4,3,4,3,3,3,2,1,3
1,AT,74,7,4,3,2,2,4,2,7,322,3,2,3,3,2,2,4,2,7
2,AT,64,7,5,3,3,7,6,1,7,322,6,2,6,5,5,4,1,2,2
1,AT,32,10,1,1,3,2,6,1,9,322,2,2,3,2,2,2,2,1,77
2,AT,42,8,4,2,2,6,1,1,6,212,2,1,5,5,2,3,1,1,1
2,AT,84,7,5,3,2,7,6,2,8,212,6,1,6,6,6,4,1,2,2
2,AT,43,7,5,2,3,6,4,1,7,322,3,3,6,4,4,2,3,1,77
2,AT,83,5,5,3,3,2,6,2,6,212,4,2,3,2,3,2,1,2,77
1,AT,29,8,8,1,3,3,6,1,8,423,6,4,5,5,1,1,5,2,77
2,AT,62,9,8,2,3,4,6,2,8,212,5,1,5,4,5,2,2,3,4
2,AT,90,7,8,2,3,5,6,2,8,322,4,2,3,4,1,2,1,2,9
2,AT,58,6,3,1,3,2,4,4,6,213,4,4,6,5,2,2,4,3,3
2,AT,74,7,5,3,3,7,6,1,7,212,6,2,6,5,3,2,1,1,3
2,AT,62,9,5,3,3,4,4,1,8,212,5,1,5,4,5,3,3,1,5
1,AT,72,8,4,2,3,4,6,4,8,720,5,4,6,2,4,1,5,1,4
2,AT,82,8,5,2,3,7,6,1,8,322,4,2,4,4,4,2,1,3,77
1,AT,56,5,5,2,3,7,6,1,6,720,5,2,5,4,1,1,2,1,4
2,AT,70,7,5,3,2,4,6,1,7,322,1,1,4,1,4,1,2,1,3
1,AT,55,8,5,2,3,1,1,2,8,322,3,2,2,1,2,2,2,1,77
2,AT,19,7,0,2,3,3,1,1,8,212,2,3,3,1,1,5,5,1,88
1,AT,63,5,5,3,2,1,1,2,5,212,3,3,4,3,3,3,3,2,5
1,AT,56,8,2,2,3,7,2,2,8,322,2,2,4,2,2,2,2,2,77
2,AT,68,7,6,3,3,6,1,1,8,322,6,1,5,5,5,2,3,4,3
2,AT,34,9,88,2,3,7,6,1,8,322,4,3,4,4,4,3,4,2,7
2,AT,78,9,4,3,3,4,6,2,7,322,3,3,4,4,3,2,3,1,7
1,AT,64,9,2,2,3,7,1,1,8,313,4,4,5,4,4,1,2,3,6
2,AT,26,9,5,2,3,2,5,1,8,322,1,2,3,3,2,1,1,2,3
2,AT,43,10,77,1,3,6,6,1,9,710,3,3,3,4,3,3,2,3,10
1,AT,70,8,5,2,3,7,6,2,8,322,3,1,4,1,3,3,1,3,77
2,AT,65,9,3,2,2,3,4,2,4,322,2,4,4,2,1,1,3,3,2
2,AT,35,3,3,3,2,6,6,2,5,620,3,5,4,2,3,1,1,2,8
2,AT,67,5,8,3,2,7,6,1,8,212,4,2,4,2,5,2,1,2,7
2,AT,90,8,6,3,1,1,6,2,8,212,4,3,5,3,3,3,2,2,3
2,AT,34,5,7,3,2,2,1,2,5,322,2,2,2,3,2,2,2,1,1
1,AT,68,8,8,2,3,6,6,2,2,212,3,5,1,4,1,2,1,2,5
1,AT,49,9,5,2,3,1,6,1,8,322,4,3,5,3,2,2,3,3,4
1,AT,27,8,6,1,3,2,6,1,8,720,2,2,4,1,2,1,2,1,77
1,AT,69,8,4,2,3,7,6,1,8,322,3,2,4,2,3,3,2,3,77
2,AT,33,6,5,3,2,7,6,3,6,322,3,3,3,3,3,3,2,2,7
2,AT,15,9,6,1,3,6,6,1,9,213,1,1,6,1,2,2,1,2,88
2,AT,43,8,5,2,2,4,4,1,8,422,4,1,4,1,3,1,3,1,8
1,AT,71,7,5,3,2,2,5,1,7,322,4,1,5,4,4,2,4,1,6
2,AT,58,9,5,2,3,4,6,1,8,322,1,1,3,1,2,1,2,1,8
2,AT,77,7,6,4,2,6,5,2,5,322,4,3,5,3,4,2,3,3,2
2,AT,60,6,77,1,3,3,2,2,9,720,1,6,5,2,1,1,4,3,1
1,AT,73,10,4,1,3,7,6,1,10,322,2,2,3,2,2,2,5,1,10
1,AT,81,8,5,4,2,7,6,1,7,322,5,1,5,6,2,2,2,2,3
2,AT,52,10,5,2,3,5,6,2,10,322,3,3,5,2,1,1,1,1,88
2,AT,30,5,6,1,3,7,6,1,7,322,3,1,4,1,1,1,2,1,88
1,AT,23,9,2,1,3,4,5,3,9,313,1,1,2,1,2,1,3,3,2
2,AT,60,8,5,1,3,3,5,1,9,322,3,2,3,1,1,2,3,1,7
2,AT,39,6,4,3,1,3,3,1,6,322,5,4,5,2,3,2,4,4,2
2,AT,48,10,6,1,3,3,4,1,10,322,2,1,3,1,1,2,1,1,2
2,AT,65,9,5,2,3,7,6,2,9,322,4,3,4,4,3,2,3,3,2
1,AT,28,7,3,2,3,3,6,2,7,322,2,3,3,2,2,2,3,2,3
2,AT,28,7,7,1,3,2,2,2,8,610,2,1,4,1,2,2,1,2,77
2,AT,68,10,5,2,3,3,5,1,9,313,5,1,2,5,2,1,5,4,88
2,AT,54,5,7,3,2,2,1,3,5,212,3,3,3,2,3,3,4,2,4
2,AT,24,7,5,1,3,1,1,2,7,212,4,4,2,4,5,5,5,3,1
1,AT,19,8,5,1,3,7,6,1,9,313,1,3,4,2,1,2,3,1,88
1,AT,62,8,6,3,3,2,6,1,8,322,3,3,4,2,3,2,3,3,7
2,AT,45,9,5,1,3,4,6,1,8,720,1,1,3,2,3,3,2,3,9
2,AT,42,9,5,1,3,7,6,1,9,423,1,1,2,1,1,1,5,1,77
2,AT,69,7,4,2,3,1,4,2,7,212,3,3,3,3,2,4,2,1,2
1,AT,21,10,5,1,3,2,6,1,9,423,1,1,1,1,2,1,1,1,3
2,AT,52,8,6,1,3,4,1,1,9,322,3,3,4,3,3,2,4,2,7
1,AT,71,8,5,3,2,2,3,2,7,322,1,1,3,1,2,1,2,1,5
1,AT,51,7,6,2,2,3,3,2,7,322,3,3,3,4,3,3,2,2,5
1,AT,82,5,77,4,2,1,1,4,5,212,4,1,6,6,6,6,3,3,2
1,AT,37,7,3,2,3,2,6,2,9,313,4,4,6,4,2,1,3,2,6
2,AT,42,10,5,1,3,3,4,1,10,322,2,6,6,3,1,3,1,1,8
2,AT,75,10,5,2,2,4,6,1,9,113,4,2,4,4,4,3,4,3,3
1,AT,61,9,4,2,3,2,6,1,9,322,3,3,4,3,3,2,3,2,8
2,AT,68,4,2,2,2,4,6,3,4,322,4,4,4,3,3,3,3,2,9
2,AT,66,5,4,2,3,7,1,2,5,322,4,2,4,4,4,3,2,2,2
1,AT,19,7,7,2,3,2,1,3,8,212,2,2,2,2,2,1,2,2,3
2,AT,78,9,5,2,3,3,4,2,9,322,2,4,3,4,1,1,2,2,6
2,AT,79,8,4,3,2,6,6,2,7,610,2,1,5,2,3,1,2,3,5
2,AT,53,9,5,1,3,4,6,4,9,322,2,1,6,1,4,1,1,1,2
2,AT,57,7,4,1,3,2,6,2,8,720,4,2,5,4,2,1,3,1,9
1,AT,39,8,3,1,3,4,6,2,8,800,2,2,5,2,2,2,2,2,4
1,AT,52,9,5,2,3,7,6,1,8,322,3,2,3,2,2,2,3,3,77
2,AT,82,7,4,2,3,4,6,2,7,212,4,2,4,4,4,2,2,2,3
1,AT,53,7,5,2,3,6,1,2,7,322,4,3,4,3,3,3,2,4,3
2,AT,59,7,7,4,1,7,1,2,7,212,4,5,5,3,5,1,1,1,1
1,AT,63,5,2,2,2,7,6,1,5,5555,3,3,5,4,2,2,2,2,2
2,AT,41,9,6,1,3,6,6,1,9,322,3,3,3,3,3,2,2,2,7
2,AT,58,9,5,2,3,4,4,1,8,322,2,2,3,2,1,2,2,1,77
1,AT,22,7,3,3,2,2,4,1,8,610,5,4,5,4,5,2,2,2,77
2,AT,73,2,88,4,1,7,6,4,2,212,5,2,5,4,3,2,2,2,1
2,AT,75,9,4,2,2,1,4,1,9,322,3,2,4,3,1,1,2,1,3
2,AT,44,8,3,1,3,7,6,3,9,610,3,3,6,4,3,1,3,2,6
1,AT,50,8,3,2,3,2,1,1,8,322,3,2,4,3,4,3,3,2,7
1,AT,21,8,5,1,3,7,6,2,8,313,3,4,5,3,2,2,3,2,2
1,AT,76,6,9,2,3,1,5,1,5,322,2,1,6,2,2,2,2,1,2
1,AT,74,3,6,1,3,1,6,4,5,720,1,1,1,2,5,3,5,2,2
2,AT,45,10,2,1,3,7,6,4,10,423,3,3,5,3,2,4,3,2,88
2,AT,69,8,5,2,3,6,6,2,8,322,4,3,4,3,3,2,1,3,3
2,AT,47,9,4,2,3,3,1,2,9,423,4,3,4,4,3,2,2,2,6
1,AT,33,8,6,1,3,7,6,1,9,620,2,2,4,2,2,3,2,1,7
1,AT,42,8,5,2,3,4,5,1,8,423,1,1,2,1,1,1,2,1,7
1,AT,68,9,5,3,2,4,4,1,9,322,2,1,4,1,1,1,3,1,5
2,AT,23,7,0,2,3,4,6,1,6,423,2,1,4,2,2,1,3,1,1
2,AT,60,8,5,2,3,5,6,2,7,423,2,3,5,2,3,3,2,2,8
2,AT,32,9,5,1,3,3,1,1,9,610,2,1,3,1,2,1,3,1,8
1,AT,26,8,77,1,3,7,1,1,7,322,1,1,2,1,2,3,4,2,2
1,AT,59,7,3,2,3,5,3,1,7,720,2,1,3,1,2,1,2,2,77
2,AT,19,8,2,1,3,6,6,3,9,322,2,3,3,2,3,1,2,1,88
2,AT,57,5,5,3,1,7,1,4,8,322,3,1,5,2,2,1,2,1,3
2,AT,49,10,6,2,2,7,1,2,9,322,77,77,77,77,77,77,77,77,77
2,AT,54,8,77,2,3,5,6,2,8,322,2,2,3,2,3,3,2,3,77
2,AT,63,9,4,2,3,6,6,1,9,610,3,3,5,3,1,2,4,2,3
1,AT,51,7,5,1,3,7,6,1,7,322,2,1,3,2,3,2,4,3,77
2,AT,18,6,88,1,3,2,6,2,6,212,2,3,2,1,2,2,3,2,1
2,AT,57,9,2,1,3,4,4,1,10,720,1,2,2,1,1,2,5,4,77
2,AT,48,8,7,2,3,6,4,2,8,322,4,3,5,4,5,3,2,4,7
1,AT,29,7,88,1,3,3,2,1,7,322,2,2,3,1,3,3,3,88,77
2,AT,56,9,2,1,3,6,4,2,10,422,2,2,5,2,2,1,4,2,9
1,AT,44,9,77,1,3,7,6,1,9,720,5,6,5,5,4,2,1,3,7
2,AT,46,9,2,1,3,6,6,1,9,610,3,2,4,4,2,1,2,3,3
1,AT,37,8,2,2,3,4,6,2,7,620,3,5,5,2,3,1,2,2,4
2,AT,28,8,4,1,3,7,6,1,9,610,3,3,4,2,1,1,2,1,3
1,AT,84,8,4,3,2,2,1,2,8,322,3,3,4,3,3,3,3,3,3
1,AT,57,0,0,2,3,7,6,2,10,212,6,2,5,3,6,5,4,1,2
2,AT,75,8,5,4,2,3,1,1,8,322,3,2,5,2,2,2,3,2,4
1,AT,59,5,2,4,2,2,1,2,4,322,4,4,5,4,3,3,3,3,2
1,AT,79,8,4,2,3,2,5,2,8,322,3,3,4,3,3,2,3,3,3
2,AT,37,8,4,2,3,3,6,2,8,710,4,5,4,5,2,1,5,2,4
1,AT,43,7,8,1,1,2,4,1,9,610,3,4,5,1,2,4,2,2,8
2,AT,80,6,6,3,2,4,6,1,7,322,2,1,2,1,1,1,4,1,3
2,AT,59,7,4,3,2,6,6,3,6,212,5,4,5,4,5,3,3,2,4
2,AT,66,77,3,2,3,3,6,2,88,800,2,2,3,3,2,1,2,1,77
1,AT,90,8,5,3,2,4,6,2,7,322,3,3,4,3,2,3,3,2,3
2,AT,72,8,5,2,3,1,1,2,8,5555,6,4,5,4,3,2,3,2,10
2,AT,29,9,5,2,3,7,5,1,8,322,3,3,3,2,2,2,2,2,8
2,AT,19,5,6,2,3,2,3,1,5,322,3,3,2,3,2,3,3,2,88
2,AT,73,8,4,3,2,5,6,2,9,212,6,1,6,3,6,1,2,1,3
2,AT,50,8,77,2,3,7,5,1,8,322,3,2,4,2,3,2,3,88,77
2,AT,61,9,1,2,3,7,6,1,10,422,3,4,4,4,2,2,3,2,7
1,AT,75,8,5,1,3,1,6,4,8,423,2,2,6,3,1,1,5,2,10
2,AT,55,8,5,1,3,3,6,2,8,322,3,3,4,3,2,2,4,2,4
1,AT,56,9,5,2,3,1,1,2,8,422,2,2,1,1,1,1,2,1,6
1,AT,67,8,77,2,3,4,6,1,7,322,2,2,3,2,3,3,3,3,77
2,AT,30,8,3,1,3,2,2,2,9,800,2,4,3,1,1,3,4,2,4
1,AT,90,8,3,2,3,1,6,1,8,322,1,2,3,2,2,2,2,1,3
1,AT,84,10,5,4,1,4,6,2,8,5555,3,2,5,4,3,4,2,2,6
1,AT,38,8,6,2,3,1,1,1,7,322,3,3,6,3,4,4,3,2,77
2,AT,81,6,3,5,1,7,6,1,8,800,1,1,4,1,1,2,4,1,7
1,AT,55,7,3,2,2,3,1,3,7,720,5,3,4,5,3,3,5,2,77
1,AT,59,7,1,2,3,7,2,1,7,212,4,2,5,5,6,3,2,4,2
1,AT,60,8,4,1,3,2,4,2,7,322,4,2,4,3,2,2,4,2,4
1,AT,35,8,8,1,3,2,6,2,2,422,2,4,2,1,2,3,4,2,8
2,AT,75,8,5,3,3,6,6,2,9,322,1,2,5,1,2,2,2,2,2
2,AT,54,7,5,3,2,2,4,2,7,322,2,5,5,3,5,5,5,2,6
2,AT,62,10,3,1,3,6,6,1,10,610,5,3,4,2,1,1,2,1,8
1,AT,75,7,3,3,3,7,6,1,8,322,6,2,6,4,5,3,1,3,3
1,AT,49,8,5,2,3,7,4,1,8,322,2,1,3,2,2,2,3,3,77
1,AT,45,8,8,1,3,2,2,2,8,520,2,1,2,1,2,1,3,3,77
2,AT,87,8,5,2,2,4,6,2,9,212,6,1,6,1,6,1,1,1,2
2,AT,49,10,5,2,3,4,4,1,10,322,3,1,4,2,2,3,4,2,6
2,AT,46,9,88,2,3,7,6,2,8,322,4,3,4,3,3,2,2,2,5
2,AT,46,10,5,2,3,2,2,1,9,422,2,4,4,3,2,1,4,1,6
1,AT,74,9,77,2,2,3,2,4,9,322,5,5,6,5,1,2,2,1,4
1,AT,82,9,4,2,2,7,6,8,6,322,88,88,88,88,88,88,88,88,6
2,AT,51,9,5,2,3,6,6,1,8,322,1,1,3,1,2,1,2,1,8
1,AT,45,8,4,1,3,2,6,1,8,720,2,3,4,3,1,2,4,2,77
1,AT,82,7,8,2,3,3,1,2,6,322,2,2,3,2,2,2,1,2,3
2,AT,70,9,5,2,3,1,6,1,8,212,3,4,4,2,2,2,4,2,6
1,AT,55,10,5,1,3,3,4,1,10,322,3,3,4,3,5,3,4,3,6
2,AT,63,10,5,2,3,3,5,2,10,322,5,2,5,2,4,2,3,3,1
1,AT,49,8,5,2,3,2,5,1,8,800,2,1,4,1,2,1,3,1,10
1,AT,47,8,88,1,3,7,4,3,5,322,2,1,4,2,1,1,2,1,6
2,AT,62,9,5,3,2,2,2,1,9,322,2,1,3,1,1,1,3,1,8
1,AT,63,9,7,2,3,3,6,1,9,322,3,4,6,5,3,3,4,2,8
2,AT,74,9,4,2,3,4,4,1,8,322,3,3,5,3,3,2,2,1,3
2,AT,70,10,77,2,2,1,4,3,10,322,5,5,5,6,2,4,6,3,77
2,AT,31,7,7,1,3,2,1,3,7,322,3,3,6,6,3,3,5,3,4
1,AT,79,7,5,3,3,2,6,2,8,322,3,2,4,3,4,2,1,1,77
2,AT,47,7,8,3,2,6,1,2,7,313,6,1,5,4,4,3,2,2,2
2,AT,77,7,5,4,1,6,6,2,7,322,4,1,5,1,4,1,3,2,3
1,AT,49,8,5,2,3,4,6,1,8,322,1,1,3,1,2,1,2,1,8
2,AT,41,10,6,1,3,4,5,2,9,322,2,4,4,4,2,2,3,2,9
1,AT,33,7,5,1,3,3,1,1,7,322,3,3,3,2,3,3,3,88,77
1,AT,58,6,6,3,3,1,4,1,6,322,5,5,4,5,2,3,3,3,6
1,AT,16,9,5,1,3,7,6,1,9,213,2,2,2,2,2,1,5,2,88
2,AT,17,9,4,1,3,5,6,1,9,212,3,3,4,3,2,2,2,2,88
1,AT,37,10,88,1,3,77,6,7,10,710,1,1,2,1,2,3,4,3,77
2,AT,65,9,5,2,3,7,6,1,8,610,5,88,6,6,5,2,1,2,77
2,AT,66,10,5,1,3,6,1,3,10,422,5,3,6,4,6,2,6,2,6
2,AT,69,4,5,3,3,7,4,4,4,322,4,2,4,3,3,2,2,2,1
1,AT,47,6,6,2,3,2,6,1,7,322,3,3,3,3,2,3,4,2,77
2,AT,90,1,3,4,2,3,5,1,0,322,3,4,6,2,3,2,3,4,77
2,AT,69,8,5,2,3,7,6,1,9,322,4,4,4,4,3,2,2,2,5
2,AT,86,8,5,2,3,7,6,3,7,212,1,1,6,1,5,3,1,1,3
2,AT,54,9,5,1,3,3,4,3,8,322,3,3,3,2,2,3,5,3,88
2,AT,59,6,5,3,3,3,6,1,6,322,2,2,4,2,3,2,2,2,7
2,AT,37,9,5,1,3,3,6,2,9,423,88,88,88,88,88,88,88,88,6
2,AT,62,6,6,2,3,7,6,3,6,322,88,88,88,88,88,88,88,88,4
2,AT,32,8,5,1,3,2,1,1,9,322,2,2,3,4,2,2,3,2,77
2,AT,68,8,5,3,2,4,4,1,8,322,3,1,4,1,3,1,3,1,6
1,AT,76,8,7,1,3,3,6,2,7,322,1,1,2,1,2,1,3,1,7
1,AT,48,8,5,2,3,4,4,1,8,610,1,1,3,1,1,1,2,1,8
1,AT,51,10,5,2,3,2,5,2,9,322,3,3,4,1,2,2,2,2,10
2,AT,53,10,77,1,3,1,4,2,9,322,3,3,4,2,2,2,3,1,6
2,AT,49,8,88,3,2,6,6,2,8,5555,2,4,5,4,1,1,4,1,7
2,AT,67,8,5,1,3,6,4,2,9,212,5,5,5,6,2,6,1,1,88
2,AT,54,10,77,1,3,4,1,2,10,610,2,2,2,1,2,1,2,1,5
2,AT,24,8,6,1,3,7,6,1,9,423,3,1,2,4,2,5,5,2,10
2,AT,63,10,2,2,3,4,6,2,10,720,2,1,5,2,2,3,4,3,4
1,AT,32,9,5,1,3,4,3,1,9,322,2,2,3,2,3,2,3,2,5
1,AT,62,9,1,1,3,1,6,2,9,322,1,2,4,2,2,1,2,1,77
2,AT,82,8,5,4,1,2,4,2,7,322,1,3,4,2,2,2,2,2,88
2,AT,81,9,5,3,3,6,6,1,9,212,6,1,6,4,6,1,1,1,88
2,AT,63,9,5,2,3,5,6,1,9,322,2,1,6,1,3,1,1,1,2
2,AT,58,10,88,2,3,3,6,1,10,322,5,3,6,6,1,1,3,1,88
1,AT,54,8,5,1,3,2,4,2,7,710,2,2,3,1,1,2,3,2,77
2,AT,76,3,7,4,2,5,5,2,3,422,4,2,4,4,4,3,2,2,4
2,AT,67,9,4,3,1,7,5,2,8,322,3,5,4,2,2,1,2,2,77
2,AT,73,10,5,2,3,7,6,2,10,322,3,3,6,4,1,1,3,3,88
1,AT,83,8,5,2,3,4,6,1,8,322,4,3,5,3,2,2,2,1,8
2,AT,65,9,5,2,3,4,4,1,9,422,5,4,5,4,4,1,5,1,3
1,AT,42,8,5,2,3,4,3,1,8,322,1,1,3,1,2,1,3,1,6
1,AT,72,6,6,3,2,7,4,3,5,322,4,2,4,4,4,3,2,3,2
2,AT,27,9,5,1,3,3,6,1,8,213,2,2,4,3,3,3,5,2,8
1,AT,52,7,5,3,2,2,4,1,7,322,1,1,4,1,2,1,1,1,9
2,AT,64,6,4,4,2,6,4,2,6,212,4,2,4,3,3,2,2,3,2
2,AT,65,9,88,1,3,4,5,1,10,322,3,4,4,3,4,3,3,3,7
2,AT,53,6,77,5,1,7,6,2,4,212,4,4,4,4,5,3,3,3,1
2,AT,55,9,5,1,3,3,3,2,10,422,3,1,4,5,1,2,3,1,5
1,AT,71,9,6,1,3,2,5,1,9,322,3,3,4,3,3,3,3,2,6
1,AT,46,8,6,1,3,2,4,2,5,423,2,2,3,2,2,2,3,2,88
1,AT,74,7,4,2,3,7,6,2,7,322,2,2,4,2,4,3,2,3,6
1,AT,47,7,5,3,3,7,6,2,8,212,5,4,4,5,5,4,2,2,77
2,AT,48,9,5,2,2,3,1,4,10,313,2,1,4,2,2,1,1,1,1
1,AT,60,8,5,2,3,7,6,1,8,423,3,1,5,1,1,1,3,1,77
2,AT,35,9,4,1,3,7,6,2,10,610,2,3,4,1,2,1,3,1,9
1,AT,26,7,88,1,3,3,4,1,8,322,2,2,3,1,2,2,3,3,77
1,AT,73,8,4,2,2,3,6,1,9,322,3,1,4,4,3,1,2,1,77
2,AT,61,8,5,2,2,5,6,1,8,423,3,3,5,3,1,2,3,2,9
2,AT,72,8,5,4,2,6,6,2,8,322,1,1,3,1,1,1,2,1,4
2,AT,43,8,5,3,2,4,4,1,8,322,1,1,3,1,1,1,2,1,7
1,AT,77,7,5,2,2,1,6,3,9,322,5,2,4,2,5,2,1,2,3
1,AT,41,9,5,2,3,4,4,1,8,423,1,1,4,1,1,1,2,1,7
1,AT,35,8,6,1,3,2,5,1,8,322,2,2,2,2,4,2,4,2,77
1,AT,49,9,8,1,3,3,6,3,6,422,4,2,1,1,1,2,3,2,8
1,AT,51,8,5,2,3,6,1,2,7,322,3,2,4,3,3,3,3,88,3
2,AT,49,8,88,2,3,7,6,1,8,322,2,2,4,3,2,2,3,3,77
1,AT,57,4,4,2,2,7,4,2,6,322,1,2,3,1,1,3,4,3,6
2,AT,35,6,5,1,3,6,6,1,6,620,3,2,4,3,3,3,3,2,2
1,AT,40,9,2,1,3,4,6,1,9,313,3,1,4,3,3,2,3,3,3
2,AT,74,9,5,3,2,6,6,2,8,212,4,4,4,4,4,2,2,2,2
1,AT,23,8,88,1,3,2,1,1,8,212,4,2,3,4,2,3,6,4,5
1,AT,15,9,5,1,3,3,6,1,8,213,6,1,6,1,1,2,1,1,88
2,AT,21,9,1,2,3,3,5,2,9,313,3,3,5,4,3,1,4,1,1
2,AT,84,8,5,3,2,6,6,2,9,212,1,1,6,1,6,1,4,2,2
1,AT,49,9,4,2,3,2,4,1,8,322,3,3,5,4,2,2,3,3,5
2,AT,56,10,5,2,3,6,4,2,10,322,3,4,5,4,2,1,2,1,10
2,AT,66,9,4,2,3,6,6,2,8,322,3,1,4,2,2,1,2,1,6
2,AT,57,8,77,3,2,7,2,2,10,322,5,1,5,3,1,1,1,1,5
2,AT,66,8,3,1,3,3,6,3,9,322,2,3,5,1,1,1,1,1,5
2,AT,29,8,5,1,3,2,1,1,7,422,2,2,4,1,2,1,2,1,88
2,AT,68,8,3,2,3,4,6,2,8,322,3,4,6,5,3,2,4,2,4
2,AT,64,7,9,2,3,5,6,1,7,322,2,1,3,1,4,2,1,2,3
2,AT,39,8,5,2,3,4,6,1,9,322,4,1,5,3,3,1,3,2,3
2,AT,77,0,7,1,3,7,4,3,2,322,3,2,2,2,1,2,2,2,5
1,AT,66,7,4,4,1,7,4,3,7,322,88,88,4,88,3,88,88,1,6
2,AT,86,5,4,3,1,7,6,4,7,212,1,1,4,5,4,1,1,1,77
2,AT,56,10,5,2,3,3,2,2,10,322,3,5,5,3,3,2,4,3,9
2,AT,60,7,5,3,3,6,4,2,7,710,2,1,3,2,1,1,4,2,8
1,AT,30,8,6,2,3,4,1,2,7,423,3,3,3,4,3,4,3,3,6
2,AT,62,8,5,1,3,2,4,1,10,610,2,2,4,1,1,1,3,1,7
2,AT,58,8,5,4,1,6,6,2,8,423,3,1,4,1,1,1,2,1,3
2,AT,31,8,5,2,3,5,6,1,8,720,1,1,3,1,1,2,6,1,3
1,AT,73,7,4,3,2,2,4,2,7,322,6,3,6,4,6,4,4,2,2
1,AT,72,8,5,2,3,1,6,2,7,322,6,2,5,6,2,2,2,2,5
