gndr,cntry,agea,stflife,lrscale,health,hlthhmp,alcfreq,cgtsmok,slprl,happy,edulvlb,ipsucesa,iprspota,impricha,ipshabta,ipcrtiva,ipudrsta,ipmodsta,iphlppla,hinctnta
2,AT,74,8,5,3,3,3,1,2,5,322,3,2,2,2,2,2,3,2,6
2,AT,68,10,4,1,3,4,6,2,9,422,3,3,4,3,2,2,3,2,8
2,AT,36,9,4,1,3,5,4,4,9,423,2,4,3,2,2,3,4,3,6
1,AT,87,10,6,1,3,2,5,1,9,520,2,2,3,2,2,2,4,3,10
2,AT,74,8,5,2,2,7,6,3,8,212,3,3,4,3,3,3,2,2,5
1,AT,24,7,3,1,3,7,1,1,7,322,3,1,4,3,3,4,2,2,2
1,AT,59,7,5,3,2,3,4,1,7,322,5,1,5,3,3,2,4,2,6
2,AT,21,8,88,1,3,3,2,1,10,313,1,2,2,1,3,3,4,4,88
1,AT,32,8,10,1,3,3,1,1,8,322,3,1,2,3,3,3,2,2,7
2,AT,47,8,5,2,3,3,4,2,8,423,2,2,3,2,2,3,3,3,3
1,AT,45,8,2,1,3,2,1,1,8,710,2,3,3,2,3,3,4,2,9
1,AT,44,8,5,2,3,2,4,2,7,423,1,1,4,1,2,1,2,1,8
1,AT,68,8,5,2,3,2,1,1,8,322,1,2,2,2,3,2,5,1,2
1,AT,20,5,7,2,3,2,3,1,5,322,2,3,1,2,2,3,4,2,1
1,AT,33,10,6,1,3,2,6,1,9,520,3,3,3,3,2,2,3,2,7
1,AT,27,10,2,1,3,4,6,2,9,322,4,2,5,2,2,2,2,3,5
1,AT,28,6,6,1,3,2,4,1,7,322,3,2,3,1,1,3,3,3,2
1,AT,73,8,6,2,3,3,4,2,9,322,1,2,3,2,1,1,2,1,10
1,AT,62,9,2,2,3,4,1,1,9,322,4,2,5,3,2,2,4,3,4
1,AT,58,9,8,2,3,2,6,1,8,322,5,4,6,4,2,2,3,3,6
2,AT,90,10,5,1,3,7,1,1,10,720,2,4,4,4,1,4,4,2,77
1,AT,38,8,5,2,3,3,5,1,8,423,2,1,5,2,3,2,4,3,7
2,AT,85,6,5,4,2,2,6,2,5,212,4,4,4,4,2,2,2,2,77
2,AT,74,4,4,2,3,4,6,2,4,322,3,2,4,2,1,1,1,1,7
1,AT,42,9,3,2,3,3,6,2,9,720,5,3,5,4,2,2,3,2,9
2,AT,51,6,88,3,2,7,5,3,7,610,4,2,4,2,2,2,4,2,3
1,AT,76,6,3,2,2,4,4,2,6,322,2,88,6,5,6,1,1,2,2
2,AT,70,7,5,2,3,6,6,2,7,322,4,4,5,3,4,2,2,3,77
1,AT,28,5,7,3,2,7,6,4,5,322,1,3,5,2,3,2,1,2,1
1,AT,18,10,5,1,2,2,6,1,10,212,2,4,3,2,2,2,3,2,10
1,AT,64,5,6,5,1,3,3,4,5,322,3,1,4,3,1,2,2,2,2
1,AT,59,3,5,2,3,7,6,1,7,322,4,2,5,5,2,2,2,1,4
2,AT,49,9,5,2,3,4,6,1,9,322,3,4,4,4,3,2,2,2,8
1,AT,70,8,1,1,3,3,4,1,9,520,5,5,5,5,5,4,2,1,3
2,AT,71,8,6,3,2,3,6,2,8,322,4,3,5,3,3,2,5,2,2
1,AT,58,4,0,4,2,2,1,2,6,610,3,5,5,1,2,2,2,3,1
1,AT,83,8,77,3,1,7,6,2,9,322,3,4,4,1,1,1,1,2,77
2,AT,74,8,5,2,3,6,4,1,8,610,3,4,4,5,2,3,4,2,4
2,AT,86,6,2,2,2,7,4,2,5,720,4,4,6,4,1,2,2,1,3
2,AT,26,8,5,1,3,7,6,1,7,212,3,3,3,3,2,3,4,2,77
1,AT,52,8,5,3,3,7,1,1,9,322,3,2,2,4,4,4,4,3,6
1,AT,63,10,8,1,3,3,6,1,10,423,2,2,2,2,3,2,4,2,7
2,AT,61,10,4,1,3,2,6,2,10,322,3,3,4,4,1,1,3,2,3
2,AT,47,8,88,2,3,6,6,1,9,322,6,1,5,4,5,2,2,3,7
1,AT,70,8,4,1,3,1,5,2,8,322,2,3,3,2,2,3,4,1,5
2,AT,67,9,5,2,2,4,4,4,9,5555,3,3,5,2,2,1,2,1,6
1,AT,68,9,3,4,1,2,1,3,8,322,1,3,3,1,1,2,4,2,9
2,AT,50,8,5,2,3,7,6,1,8,720,3,3,3,3,1,3,2,3,6
1,AT,62,9,4,1,1,1,4,1,9,313,2,3,2,2,1,2,4,2,7
2,AT,64,9,5,1,3,4,6,1,9,322,3,1,6,1,3,1,2,1,2
1,AT,39,7,7,2,3,2,6,1,9,610,1,3,3,4,2,1,1,2,8
2,AT,43,9,2,1,3,7,6,1,9,322,1,1,6,1,2,3,1,2,3
1,AT,47,8,5,2,3,5,1,1,8,322,2,1,2,1,1,1,2,1,6
2,AT,30,8,5,1,3,4,4,1,8,322,4,2,3,4,2,2,88,3,7
2,AT,77,10,7,1,2,2,5,2,10,322,2,2,3,4,2,3,4,1,3
2,AT,48,9,7,4,1,6,6,1,9,423,4,2,4,6,2,4,5,4,8
2,AT,35,4,3,4,2,7,6,2,4,620,4,3,2,4,3,2,1,1,7
